hint   n.暗示，迹象
huge   adj.庞大的，巨大的
hustle   v.奔忙
haggard   adj.消瘦的，憔悴的
halfway   adv.半途
handbook   n.手册
handle   v.处理，对待
hear   v.听见，听取，听说
hey   int.嗨
hundredth   num.第一面，百分之一
hurrah   int.好哇
helmet   n.头盔
honey   n.蜂蜜
hop   v.跳跃
housewife   n.家庭主妇
human   adj.人的，人类的
hunger   n.饥饿，渴望
hydroelectric   adj.水电的
hallmark   n.标志
harbor   n.港口，停泊处
heat   n.热，热烈
hijack   v.拦路抢劫
hillside   n.山坡，山腰
honorable   adj.可尊敬的，体面的
hostile   adj.怀敌意的
hairdress   n.美发
healthy   adj.健康的
hiss   v.,n.(发)嘶嘶声
